        57      0.00    910.44 o3p      oi        6  2
cross section:
lambda=130.a-910.44a  henry, r. j. w. (1970)
   astrophys. j. 161, 1153
lambda=0.00-130.00a  barfield, w. d., koontz, g. d., huebner, w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
threshold:
lambda=910.44a  moore, c. e. (1970)
   ionization potentials and ionization limits derived from the
   analyses of optical spectra, nsrds-nbs 34

      1.00  7.00e-23
      5.00  1.00e-20
     10.00  6.80e-20
     12.00  1.10e-19
     14.00  1.70e-19
     15.00  2.00e-19
     16.00  2.30e-19
     17.00  2.80e-19
     18.00  3.20e-19
     19.00  3.60e-19
     20.00  4.30e-19
     21.00  4.70e-19
     22.00  5.40e-19
     22.50  5.60e-19
     23.50  2.90e-20
     24.00  3.10e-20
     25.00  3.40e-20
     26.00  3.80e-20
     28.00  4.60e-20
     30.00  5.40e-20
     35.00  7.80e-20
     40.00  1.10e-19
     45.00  1.40e-19
     50.00  1.80e-19
     55.00  2.30e-19
     60.00  2.90e-19
     65.00  3.70e-19
     70.00  4.50e-19
     75.00  5.50e-19
     80.00  6.50e-19
     85.00  8.00e-19
     90.00  9.50e-19
     95.00  1.10e-18
    100.00  1.25e-18
    110.00  1.60e-18
    120.00  2.00e-18
    130.00  2.40e-18
    150.00  3.20e-18
    200.00  4.60e-18
    250.00  5.85e-18
    300.00  7.00e-18
    350.00  8.00e-18
    400.00  8.90e-18
    450.00  9.55e-18
    500.00  1.00e-17
    550.00  1.03e-17
    600.00  1.03e-17
    650.00  9.95e-18
    667.00  9.75e-18
    668.00  7.50e-18
    700.00  7.30e-18
    734.00  7.00e-18
    735.00  3.15e-18
    747.00  3.15e-18
    800.00  3.10e-18
    850.00  3.05e-18
    910.40  2.94e-18
  0
***
