       226      0.00    492.89 B+       B^2+         2
Cross section:
Lambda = 0.1 - 250.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 253.40 - 505.24 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 492.89 A
   Ryabtsev, A. N. (1998)
   Private communication.
   See:  http://physics.nist.gov/PhysRefData/Handbook/atomic_number.htm.

      0.10  4.71E-27
     10.00  1.18E-20
     20.00  8.49E-20
     30.00  2.53E-19
     40.00  5.24E-19
     50.00  8.89E-19
     59.10  1.29E-18
     59.11  5.58E-20
     60.00  5.78E-20
     70.00  8.29E-20
     80.00  1.12E-19
     90.00  1.45E-19
    100.00  1.82E-19
    110.00  2.22E-19
    120.00  2.64E-19
    130.00  3.09E-19
    140.00  3.56E-19
    150.00  4.05E-19
    160.00  4.56E-19
    170.00  5.08E-19
    180.00  5.62E-19
    190.00  6.16E-19
    200.00  6.71E-19
    210.00  7.27E-19
    220.00  7.84E-19
    230.00  8.41E-19
    240.00  8.98E-19
    250.00  9.55E-19
    253.40  9.85E-19
    253.43  1.01E-18
    253.46  1.01E-18
    253.58  9.79E-19
    253.76  1.01E-18
    253.81  1.01E-18
    253.99  9.80E-19
    254.22  1.02E-18
    254.28  1.01E-18
    254.52  9.82E-19
    254.88  1.03E-18
    255.06  9.87E-19
    255.62  1.01E-18
    255.76  1.02E-18
    256.19  9.68E-19
    256.20  9.56E-19
    256.40  9.70E-19
    256.43  9.11E-19
    256.44  9.18E-19
    256.45  1.07E-18
    256.46  1.03E-18
    256.60  9.80E-19
    256.68  1.02E-18
    256.83  1.02E-18
    256.97  1.05E-18
    257.10  1.02E-18
    257.32  9.06E-19
    257.39  1.05E-18
    257.68  1.05E-18
    257.72  9.29E-19
    257.78  9.72E-19
    258.14  9.86E-19
    258.18  9.16E-19
    258.21  9.82E-19
    258.50  9.95E-19
    258.82  1.09E-18
    258.83  1.06E-18
    259.07  1.06E-18
    259.32  1.02E-18
    259.80  9.77E-19
    260.12  8.96E-19
    260.19  1.12E-18
    260.25  1.10E-18
    260.57  1.03E-18
    260.78  9.45E-19
    260.88  1.03E-18
    261.34  1.04E-18
    262.16  1.08E-18
    262.65  9.51E-19
    262.96  9.23E-19
    263.18  1.09E-18
    264.12  1.08E-18
    264.25  1.05E-18
    264.29  9.12E-19
    264.34  9.06E-19
    264.43  1.00E-18
    265.01  1.05E-18
    265.21  9.73E-19
    265.25  8.68E-19
    265.26  7.61E-19
    265.28  5.79E-19
    265.29  9.67E-19
    265.30  1.29E-18
    265.31  1.25E-18
    265.37  1.13E-18
    265.85  1.02E-18
    265.90  9.61E-19
    265.91  8.86E-19
    265.92  8.61E-19
    265.93  1.03E-18
    266.12  9.40E-19
    266.17  8.31E-19
    266.19  7.20E-19
    266.21  5.32E-19
    266.22  7.41E-19
    266.23  1.47E-18
    266.24  1.56E-18
    266.27  1.32E-18
    266.32  1.18E-18
    266.52  1.08E-18
    266.97  9.56E-19
    267.08  8.37E-19
    267.15  6.47E-19
    267.16  6.38E-19
    267.18  7.31E-19
    267.20  1.24E-18
    267.22  1.37E-18
    267.23  1.41E-18
    267.35  1.23E-18
    267.67  1.07E-18
    267.80  9.55E-19
    267.86  7.75E-19
    267.88  7.71E-19
    267.93  9.91E-19
    267.98  1.05E-18
    268.11  9.70E-19
    268.25  7.24E-19
    268.27  7.35E-19
    268.29  7.84E-19
    268.36  1.08E-18
    268.44  1.18E-18
    269.60  1.14E-18
    269.63  1.26E-18
    269.65  1.16E-18
    270.01  1.13E-18
    270.64  1.18E-18
    270.73  1.17E-18
    270.79  1.03E-18
    271.04  1.07E-18
    272.02  1.04E-18
    272.25  9.48E-19
    272.32  8.29E-19
    272.36  6.96E-19
    272.40  6.36E-19
    272.44  1.24E-18
    272.48  1.35E-18
    272.56  1.26E-18
    272.81  1.17E-18
    275.75  1.06E-18
    276.38  9.75E-19
    276.51  8.79E-19
    276.57  7.40E-19
    276.64  1.30E-18
    276.77  1.12E-18
    277.19  9.15E-19
    277.47  6.92E-19
    277.55  6.87E-19
    277.62  8.20E-19
    277.69  1.06E-18
    277.77  1.24E-18
    277.84  1.32E-18
    278.23  1.30E-18
    280.47  1.14E-18
    280.95  1.03E-18
    281.25  8.08E-19
    281.35  8.05E-19
